tweet_id,text,fairness,non-moral,purity,degradation,loyalty,care,cheating,betrayal,subversion,authority,harm
5,the shit just blows me claim you so faithful and down for somebody but still fucking with hoes,0,1,0,0,0,0,0,0,0,0,0
6,i can not just sit up and hate on another bitch i got too much shit going on,0,1,0,0,0,0,0,0,0,0,0
7,cause i am tired of you big bitches coming for us skinny girls,0,0,0,0,0,0,1,0,0,0,0
3,she look like a tranny,0,1,0,0,0,0,0,0,0,0,0
4,the shit you hear about me might be true or it might be faker than the bitch who told it to ya,0,1,0,0,0,0,0,0,0,0,0
8,you might not get ya bitch back that is that,0,1,0,0,0,0,0,0,0,0,0
9,hobbies include fighting mariam bitch,0,1,0,0,0,0,0,0,0,0,0
10,keeks is a bitch she curves everyone lol i walked into a conversation like this smh,0,1,0,0,0,0,0,0,0,0,0
11,murda gang bitch its gang land,0,0,0,0,0,0,0,0,0,0,1
12,so hoes that smoke are losers yea go on ig,0,1,0,0,0,0,0,0,0,0,0
13,bad bitches is the only thing that i like,0,1,0,0,0,0,0,0,0,0,0
14,bitch get up off me,0,1,0,0,0,0,0,0,0,0,0
15,bitch nigga miss me with it,0,1,0,0,0,0,0,0,0,0,0
18,bitches get cut off everyday b,0,1,0,0,0,0,0,0,0,0,0
21,cancel that bitch like nino,0,1,0,0,0,0,0,0,0,0,0
22,ca not you see these hoes wo not change,0,1,0,0,0,0,0,0,0,0,0
24,got ya bitch tip toeing on my hardwood floors,0,1,0,0,0,0,0,0,0,0,0
27,i met that pussy on ocean dr i gave that pussy a pill,0,1,0,0,0,0,0,0,0,0,0
29,i spend my money how i want bitch its my business,0,1,0,0,0,0,0,0,0,0,0
30,i txt my old bitch my new bitch pussy wetter,0,1,0,0,0,0,0,0,0,0,0
35,is that ya bitch,0,1,0,0,0,0,0,0,0,0,0
32,if you ai not bout that murder game pussy nigga shut up,0,1,0,0,0,0,0,0,0,0,0
33,if you are toes ain t done you pussy stinks,0,1,0,0,0,0,0,0,0,0,0
34,i am done with bitter bitches its a wrap for that if you a angry bird there is a app for that,0,1,0,0,0,0,0,0,0,0,0
36,it ai not nothing to cut a bitch off,0,1,0,0,0,0,0,0,0,0,0
37,jus meet son now he ya mane ass bitches shots,0,1,0,0,0,0,0,0,0,0,0
38,lames crying over hoes that is tears of a clown,0,1,0,0,0,0,0,0,0,0,0
39,like snoop said in we do not love these hoes,0,1,0,0,0,0,0,0,0,0,0
40,momma said no pussy cats inside my doghouse,0,1,0,0,0,0,0,0,0,0,0
41,most hated but the hoes favorite mw seven one,0,1,0,0,0,0,0,0,0,0,0
42,nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick,0,1,0,0,0,0,0,0,0,0,0
43,pimps up pimps up hoes down future voice,0,1,0,0,0,0,0,0,0,0,0
44,post a picture of that pussy get likes,0,1,0,0,0,0,0,0,0,0,0
45,pussy is a powerful drug happy hump day,0,1,0,0,0,0,0,0,0,0,0
46,quick piece of pussy call it a drive by,0,1,0,0,0,0,0,0,0,0,0
47,running round here like some brand new pussy that is bout to get fucked,0,1,0,0,0,0,0,0,0,0,0
48,these bitches even worst they will send them guys for you,0,1,0,0,0,0,0,0,0,0,0
49,these hoes like niggas that spend money not talk bout it,0,1,0,0,0,0,0,0,0,0,0
50,we do not trust these niggas all these bitches,0,1,0,0,0,0,0,0,0,0,0
51,y all niggas b cuffing hoes cause y all ai not never have bitches,0,1,0,0,0,0,0,0,0,0,0
52,you dodge a bullet all da bitches i cut off pregnant or bound to be thank god,0,1,0,0,0,0,0,0,0,0,0
55,gay niggas could not wait to act like bitches tonight,0,0,0,0,1,0,0,0,0,0,0
56,and i am a steal his cat n replace it with a pitbull he a bitch you should do it,0,1,0,0,0,0,0,0,0,0,0
57,he is gone always be a hoe,0,1,0,0,0,0,0,0,0,0,0
58,son of a bitch took my tic tacs i like this movie,0,1,0,0,0,0,0,0,0,0,0
59,all i wanna do is get money and fuck model bitches russell simmons,0,1,0,0,0,0,0,0,0,0,0
60,i probably wouldn t mind school as much if we didn t have to deal with bitch ass teachers retweet,0,1,0,0,0,0,0,0,0,0,0
61,i am a fucking fag they said,0,1,0,0,0,0,0,0,0,0,0
63,simplyaddictedtoguys woof woof hot scally lad,0,1,0,0,0,0,0,0,0,0,0
64,have ya ever asked your bitch for other bitches kanye voice yes,0,1,0,0,0,0,0,0,0,0,0
65,how you gone bring ur side bitch to a game where you know ya gf friends at i swear,0,1,0,0,0,0,0,0,0,0,0
66,woof woof and hot soles,0,1,0,0,0,0,0,0,0,0,0
67,lemmie eat a oreo do these dishes one oreo lol,0,1,0,0,0,0,0,0,0,0,0
68,bitch fuck you maybe you will get better just,0,1,0,0,0,0,0,0,0,0,0
69,fuck red malone man bitch ass niggah could you please use complete sentences,0,1,0,0,0,0,0,0,0,0,0
72,him seh me pussy wetter then a shower curtain ah me seh wetness lmao,0,1,0,0,0,0,0,0,0,0,0
